parameter,value,CV,se_sa,rse_sa
gamma_pop,10.7260041153183,,0.521075126266479,4.85805450626583
delta_pop,1.31414648002284,,0.0507864373379202,3.86459486137631
beta1_pop,0.00525214871493424,,0.0012599014818757,23.9883055537485
tau_pop,2.18638871043815,,0.0869150493540382,3.97527891262393
omega_gamma,0.421093237324154,44.0468542041525,0.0362917374176665,8.6184564844316
omega_delta,0.333898821334573,34.3425103050774,0.0280228651898102,8.39262177620289
omega_beta1,2.3748685884247,1674.70280080881,0.192814539264744,8.11895614791226
omega_tau,0.0996059510750271,9.98535187513635,0.0279357064970114,28.0462223346164
a,1.37104280692144,,0.0348504976972818,2.54189712541036
