parameter,value,CV,se_sa,rse_sa
gamma_pop,10.3779831597487,,0.535862390145119,5.16345403433952
delta_pop,1.33332699888604,,0.0597223054309603,4.47919418723666
beta1_pop,0.0047414969509995,,0.00139597697152273,29.4416929073099
tau_pop,2.31411708323524,,0.064150503092433,2.77213731133896
omega_gamma,0.40694116213276,42.4384585211787,0.0406813645705343,9.99686646524651
omega_delta,0.354413392503134,36.5839560096529,0.0399328088650178,11.267296809238
omega_beta1,2.65733480497839,3413.37002270027,0.254675420416413,9.58386650937962
omega_tau,0.10250223032233,10.2772060822303,0.0375468595245316,36.6302854157039
a,1.30461517190809,,0.0406587206863509,3.11652980601818
